configuracao,n_grama,rank,ngram_text,frequencia
stopwords_no_lemmas,1,1,de,8317
stopwords_no_lemmas,1,2,em,3222
stopwords_no_lemmas,1,3,os,1650
stopwords_no_lemmas,1,4,que,1392
stopwords_no_lemmas,1,5,as,1260
stopwords_no_lemmas,1,6,para,1116
stopwords_no_lemmas,1,7,por,928
stopwords_no_lemmas,1,8,um,834
stopwords_no_lemmas,1,9,com,807
stopwords_no_lemmas,1,10,uma,773
stopwords_no_lemmas,1,11,como,655
stopwords_no_lemmas,1,12,se,555
stopwords_no_lemmas,1,13,and,492
stopwords_no_lemmas,1,14,não,401
stopwords_no_lemmas,1,15,of,376
stopwords_no_lemmas,2,1,de os,532
stopwords_no_lemmas,2,2,de as,372
stopwords_no_lemmas,2,3,et al,370
stopwords_no_lemmas,2,4,de um,163
stopwords_no_lemmas,2,5,de dados,140
stopwords_no_lemmas,2,6,of the,136
stopwords_no_lemmas,2,7,em os,133
stopwords_no_lemmas,2,8,de uma,127
stopwords_no_lemmas,2,9,além de,104
stopwords_no_lemmas,2,10,análise de,96
stopwords_no_lemmas,2,11,de corpus,96
stopwords_no_lemmas,2,12,proceedings of,95
stopwords_no_lemmas,2,13,em as,94
stopwords_no_lemmas,2,14,partir de,91
stopwords_no_lemmas,2,15,em este,89
stopwords_no_lemmas,3,1,et al 2020,89
stopwords_no_lemmas,3,2,proceedings of the,88
stopwords_no_lemmas,3,3,in proceedings of,63
stopwords_no_lemmas,3,4,et al 2018,55
stopwords_no_lemmas,3,5,com base em,51
stopwords_no_lemmas,3,6,além de isso,48
stopwords_no_lemmas,3,7,de os dados,46
stopwords_no_lemmas,3,8,et al 2017,45
stopwords_no_lemmas,3,9,por meio de,43
stopwords_no_lemmas,3,10,de acordo com,39
stopwords_no_lemmas,3,11,international conference on,38
stopwords_no_lemmas,3,12,um de os,36
stopwords_no_lemmas,3,13,uma vez que,34
stopwords_no_lemmas,3,14,universidade federal de,34
stopwords_no_lemmas,3,15,em este trabalho,33
stopwords_lemmas,1,1,de,8318
stopwords_lemmas,1,2,em,3222
stopwords_lemmas,1,3,ser,2140
stopwords_lemmas,1,4,um,1604
stopwords_lemmas,1,5,que,1392
stopwords_lemmas,1,6,para,1116
stopwords_lemmas,1,7,por,928
stopwords_lemmas,1,8,com,809
stopwords_lemmas,1,9,como,655
stopwords_lemmas,1,10,se,555
stopwords_lemmas,1,11,and,492
stopwords_lemmas,1,12,esse,458
stopwords_lemmas,1,13,não,444
stopwords_lemmas,1,14,of,376
stopwords_lemmas,1,15,al,372
stopwords_lemmas,2,1,et al,368
stopwords_lemmas,2,2,de um,290
stopwords_lemmas,2,3,de dado,188
stopwords_lemmas,2,4,poder ser,148
stopwords_lemmas,2,5,of the,136
stopwords_lemmas,2,6,de esse,135
stopwords_lemmas,2,7,em um,118
stopwords_lemmas,2,8,em este,113
stopwords_lemmas,2,9,ser um,112
stopwords_lemmas,2,10,de texto,107
stopwords_lemmas,2,11,que ser,104
stopwords_lemmas,2,12,além de,104
stopwords_lemmas,2,13,de palavra,99
stopwords_lemmas,2,14,análise de,98
stopwords_lemmas,2,15,de corpus,97
stopwords_lemmas,3,1,et al 2020,89
stopwords_lemmas,3,2,proceedings of the,88
stopwords_lemmas,3,3,in proceedings of,63
stopwords_lemmas,3,4,et al 2018,55
stopwords_lemmas,3,5,com base em,51
stopwords_lemmas,3,6,além de isso,48
stopwords_lemmas,3,7,base de dado,46
stopwords_lemmas,3,8,et al 2017,44
stopwords_lemmas,3,9,por meio de,43
stopwords_lemmas,3,10,cada um de,43
stopwords_lemmas,3,11,de acordo com,39
stopwords_lemmas,3,12,international conference on,38
stopwords_lemmas,3,13,que poder ser,36
stopwords_lemmas,3,14,um vez que,34
stopwords_lemmas,3,15,universidade federal de,34
no_stopwords_no_lemmas,1,1,corpus,314
no_stopwords_no_lemmas,1,2,dados,271
no_stopwords_no_lemmas,1,3,cada,197
no_stopwords_no_lemmas,1,4,análise,190
no_stopwords_no_lemmas,1,5,2020,190
no_stopwords_no_lemmas,1,6,português,184
no_stopwords_no_lemmas,1,7,construção,182
no_stopwords_no_lemmas,1,8,palavras,182
no_stopwords_no_lemmas,1,9,2018,163
no_stopwords_no_lemmas,1,10,anotação,160
no_stopwords_no_lemmas,1,11,modelo,150
no_stopwords_no_lemmas,1,12,forma,147
no_stopwords_no_lemmas,1,13,exemplo,141
no_stopwords_no_lemmas,1,14,verbos,141
no_stopwords_no_lemmas,1,15,textos,139
no_stopwords_no_lemmas,2,1,universal dependencies,47
no_stopwords_no_lemmas,2,2,português brasileiro,45
no_stopwords_no_lemmas,2,3,international conference,40
no_stopwords_no_lemmas,2,4,natural language,37
no_stopwords_no_lemmas,2,5,língua portuguesa,36
no_stopwords_no_lemmas,2,6,computational linguistics,36
no_stopwords_no_lemmas,2,7,universidade federal,34
no_stopwords_no_lemmas,2,8,language processing,32
no_stopwords_no_lemmas,2,9,base dados,30
no_stopwords_no_lemmas,2,10,question answering,26
no_stopwords_no_lemmas,2,11,verbo falar,26
no_stopwords_no_lemmas,2,12,linguagem natural,25
no_stopwords_no_lemmas,2,13,fake news,25
no_stopwords_no_lemmas,2,14,fala leitura,24
no_stopwords_no_lemmas,2,15,framenet brasil,24
no_stopwords_no_lemmas,3,1,natural language processing,30
no_stopwords_no_lemmas,3,2,association computational linguistics,23
no_stopwords_no_lemmas,3,3,leitura voz alta,23
no_stopwords_no_lemmas,3,4,processamento linguagem natural,18
no_stopwords_no_lemmas,3,5,conference empirical methods,14
no_stopwords_no_lemmas,3,6,empirical methods natural,14
no_stopwords_no_lemmas,3,7,methods natural language,14
no_stopwords_no_lemmas,3,8,language resources evaluation,12
no_stopwords_no_lemmas,3,9,construções interrogativas qu,12
no_stopwords_no_lemmas,3,10,bases dados verbais,11
no_stopwords_no_lemmas,3,11,international conference language,10
no_stopwords_no_lemmas,3,12,conference language resources,10
no_stopwords_no_lemmas,3,13,linguagem natural pln,10
